Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,altura,SAND,SILT,CLAY,KA5,SOC,BD
Boosen,42,1,464195,5805355,78.13673401,7814,51.92315674,73.03677486,21.31823867,5.644986473,SL2,0.828395515,1.378705338
Boosen,43,1,464205,5805355,75.62192535,7562,51.90340042,71.93734206,20.22640383,7.836254109,SL3,0.831328825,1.376199738
Boosen,44,1,464215,5805355,76.06791687,7607,51.84827805,71.94318702,21.67558513,6.381227846,SL2,0.790957966,1.38274712
Boosen,45,1,464225,5805355,80.25505066,8026,51.72289276,72.00630698,21.56656313,6.427129889,SL2,0.859665135,1.372954712
Boosen,46,1,464235,5805355,79.62892151,7963,51.60528946,72.03640402,21.47901623,6.484579755,SL2,0.891703534,1.368423323
Boosen,47,1,464245,5805355,66.23228455,6623,51.51401138,72.03592313,21.44493263,6.519144246,SL2,0.866800299,1.371921643
Boosen,48,1,464255,5805355,69.53153992,6953,51.43935013,71.85340677,19.40532524,8.741267989,SL3,0.879076278,1.368879574
Boosen,49,1,464265,5805355,58.49277878,5849,51.34154129,73.54558444,21.02181312,5.432602436,SL2,1.004537309,1.354594681
Boosen,50,1,464195,5805345,72.75965881,7276,52.34163666,72.69141729,20.20968721,7.098895503,SL2,0.832642635,1.377048021
Boosen,51,1,464205,5805345,77.10640717,7711,52.32389069,71.24997941,20.26572504,8.484295549,SL3,0.83499109,1.37474531
Boosen,52,1,464215,5805345,79.15087128,7915,52.28074265,71.21500278,20.450059,8.33493822,SL3,0.832195673,1.375190968
Boosen,53,1,464225,5805345,81.7861557,8179,52.18253326,72.55746867,21.22083097,6.221700358,SL2,0.853731398,1.374381857
Boosen,54,1,464235,5805345,78.15318298,7815,52.06870651,72.78717569,20.90938373,6.303440579,SL2,0.890505452,1.369337778
Boosen,55,1,464245,5805345,65.41324615,6541,51.95559311,72.63441329,20.9224241,6.44316261,SL2,0.866440003,1.372531814
Boosen,56,1,464255,5805345,62.37632751,6238,51.82338333,71.65773371,19.71827677,8.623989514,SL3,0.854114653,1.372305279
Boosen,57,1,464265,5805345,54.51287079,5451,51.68259811,74.51298612,20.37525157,5.111762312,SL2,0.997391217,1.356581944
Boosen,58,1,464185,5805335,74.28523254,7429,52.70170975,74.85733211,20.36307278,4.779595109,SL2,0.775800399,1.388293916
Boosen,59,1,464195,5805335,69.04257202,6904,52.7061882,72.83535962,21.97798705,5.186653324,SL2,0.781548129,1.385496564
