Field_name,Field_Profile_number,Horizon_number,Easting,Northing,measured_yield,Yield_kg_per_ha,height,SAND,SILT,CLAY,Upper_depth,Lower_depth,Thickness,KA5,SOC,BD
Boosen,10,3,464245,5805405,68.99567413,6900,49.53435898,68.21734603,18.4223506,13.36030337,60,90,30,SL4,0.1707962,1.471977728
Boosen,10,4,464245,5805405,68.99567413,6900,49.53435898,68.21734603,18.4223506,13.36030337,90,200,110,SL4,0.1707962,1.471977728
Boosen,11,1,464255,5805405,60.5956192,6060,49.59324646,70.86722281,20.33576283,8.797014357,0,30,30,SL3,1.041907447,1.345425697
Boosen,11,2,464255,5805405,60.5956192,6060,49.59324646,71.02997366,18.99197027,9.978056068,30,60,30,SL3,0.446789922,1.43171403
Boosen,11,3,464255,5805405,60.5956192,6060,49.59324646,70.07948243,16.59337464,13.32714292,60,90,30,SL4,0.164348585,1.474685149
Boosen,11,4,464255,5805405,60.5956192,6060,49.59324646,70.07948243,16.59337464,13.32714292,90,200,110,SL4,0.164348585,1.474685149
Boosen,12,1,464265,5805405,60.91023636,6091,49.74598694,71.45658388,19.90834818,8.635067939,0,30,30,SL3,1.158560008,1.330365878
Boosen,12,2,464265,5805405,60.91023636,6091,49.74598694,71.76214097,18.47631468,9.761544348,30,60,30,SL3,0.473465502,1.428313195
Boosen,12,3,464265,5805405,60.91023636,6091,49.74598694,71.67349704,16.45231787,11.87418509,60,90,30,SL4,0.126256884,1.483189928
Boosen,12,4,464265,5805405,60.91023636,6091,49.74598694,71.67349704,16.45231787,11.87418509,90,200,110,SL4,0.126256884,1.483189928
Boosen,13,1,464205,5805395,76.88671875,7689,50.07849121,72.32610227,20.27856563,7.3953321,0,30,30,SL2,0.833194551,1.37649882
Boosen,13,2,464205,5805395,76.88671875,7689,50.07849121,72.9458333,18.34830181,8.705864893,30,60,30,SL3,0.324905899,1.453318853
Boosen,13,3,464205,5805395,76.88671875,7689,50.07849121,74.20598045,15.4377496,10.35626995,60,90,30,SL3,0.207753468,1.472613573
Boosen,13,4,464205,5805395,76.88671875,7689,50.07849121,74.20598045,15.4377496,10.35626995,90,200,110,SL3,0.207753468,1.472613573
Boosen,14,1,464215,5805395,66.63754272,6664,50.05384445,72.53167143,21.47769746,5.99063111,0,30,30,SL2,0.851171123,1.374842546
Boosen,14,2,464215,5805395,66.63754272,6664,50.05384445,73.12304965,19.96756012,6.909390231,30,60,30,SL2,0.090384839,1.493062869
Boosen,14,3,464215,5805395,66.63754272,6664,50.05384445,74.42997741,16.55204602,9.017976567,60,90,30,SL3,0.0499588,1.499987441
Boosen,14,4,464215,5805395,66.63754272,6664,50.05384445,74.42997741,16.55204602,9.017976567,90,200,110,SL3,0.0499588,1.499987441
Boosen,15,1,464225,5805395,77.94815063,7795,50.0160141,72.72016638,21.28424603,5.995587595,0,30,30,SL2,0.887668572,1.369838231
